x,y,t
56,10,1730090866.3547237
6,-85,1730090866.3977218
62,-75,1730090866.4419527
12,-170,1730090866.5249643
63,-153,1730090866.7679641
16,-248,1730090867.060964
-33,-343,1730090867.142964
-75,-438,1730090867.3869646
-119,-533,1730090868.1579645
-65,-515,1730090868.2779639
-109,-610,1730090868.3239646
-14,-705,1730090868.6079655
35,-693,1730090868.6919637
60,-614,1730090868.8529646
116,-604,1730090868.893964
172,-594,1730090868.937964
225,-584,1730090868.9789639
274,-574,1730090869.020965
325,-564,1730090869.0619645
375,-554,1730090869.1039646
425,-544,1730090869.1449637
481,-544,1730090869.2689638
532,-534,1730090869.3509638
627,-629,1730090869.391964
677,-629,1730090869.4339638
726,-629,1730090869.4769638
773,-639,1730090869.518965
821,-649,1730090869.5609636
870,-659,1730090869.6039643
921,-669,1730090869.644964
973,-679,1730090869.6899645
1029,-689,1730090869.732964
1080,-699,1730090869.7757936
1131,-717,1730090869.817802
1180,-727,1730090869.858802
1224,-737,1730090869.901326
1268,-747,1730090869.9423237
1315,-774,1730090869.983326
1364,-804,1730090870.0253265
1406,-829,1730090870.0673249
1450,-839,1730090870.1093268
1496,-860,1730090870.150325
1541,-880,1730090870.1923275
1585,-912,1730090870.233328
1630,-922,1730090870.2763236
1669,-957,1730090870.3173268
1708,-990,1730090870.3593252
1745,-1022,1730090870.4003282
1782,-1054,1730090870.443326
1818,-1085,1730090870.486326
1854,-1115,1730090870.5273268
1892,-1146,1730090870.5683253
1931,-1181,1730090870.6103258
1970,-1211,1730090870.6513245
2005,-1243,1730090870.6933236
2041,-1276,1730090870.7343247
2072,-1309,1730090870.7773273
2103,-1340,1730090870.8183243
2133,-1368,1730090870.8603253
2166,-1398,1730090870.9013252
2261,-1493,1730090870.9433243
2356,-1588,1730090870.9843235
2451,-1683,1730090871.0663278
2546,-1778,1730090871.1091912
2641,-1873,1730090871.151219
2736,-1968,1730090871.192218
2831,-2060,1730090871.442218
2926,-2155,1730090871.5652175
2944,-2205,1730090872.3757412
2973,-2268,1730090872.8197408
3068,-2359,1730090872.94374
3109,-2442,1730090873.4657404
3141,-2526,1730090873.5097418
3182,-2614,1730090873.550742
