x,y,t
-893,-2570,1734032062.3886182
-903,-2584,1734032062.4296193
-903,-2598,1734032062.8584774
-913,-2612,1734032063.028226
-923,-2626,1734032064.1512258
-933,-2644,1734032064.2812266
-943,-2658,1734032064.4102259
-953,-2672,1734032064.6682267
-967,-2682,1734032064.799226
-977,-2696,1734032065.0162258
-987,-2710,1734032065.3172257
-1006,-2805,1734032065.3602254
-1016,-2822,1734032065.798226
-1026,-2838,1734032065.8412256
-1026,-2855,1734032066.6242268
-1026,-2869,1734032066.6662266
-1036,-2884,1734032066.8342285
-1046,-2898,1734032066.9612262
-1056,-2921,1734032068.5652533
-1066,-2944,1734032068.650253
-1076,-2964,1734032068.9822538
-1086,-2985,1734032069.0262542
-1096,-3002,1734032069.192253
-1106,-3022,1734032070.0162528
-1116,-3043,1734032070.0602536
-1126,-3063,1734032070.1012554
-1136,-3080,1734032070.4752543
-1146,-3098,1734032070.6432543
-1156,-3116,1734032070.7252533
-1156,-3130,1734032071.0932558
-1156,-3147,1734032071.1392524
-1156,-3165,1734032071.181254
-1146,-3180,1734032071.2652533
-1146,-3197,1734032072.1752522
-1156,-3211,1734032073.259267
-1166,-3225,1734032073.3017128
-1176,-3243,1734032073.3442268
-1186,-3257,1734032073.4282258
-1202,-3352,1734032075.5604599
-1216,-3362,1734032083.3149326
-1230,-3372,1734032084.7869325
-1244,-3382,1734032084.961946
-1258,-3392,1734032085.1409457
-1272,-3402,1734032085.6179466
-1286,-3412,1734032086.5249956
-1300,-3422,1734032086.999996
-1315,-3432,1734032087.044873
-1329,-3442,1734032087.0859096
-1343,-3452,1734032087.1299086
-1361,-3547,1734032093.0550807
-1379,-3642,1734032093.5510778
-1397,-3737,1734032095.1750774
-1413,-3832,1734032095.4770772
-1423,-3818,1734032095.7300773
-1433,-3804,1734032095.7740798
-1443,-3790,1734032095.983078
-1453,-3775,1734032096.9431322
-1463,-3761,1734032097.4851317
-1473,-3747,1734032098.4951332
-1483,-3733,1734032098.5831347
-1493,-3719,1734032099.2171357
-1503,-3705,1734032099.304132
-1519,-3800,1734032101.6336508
-1533,-3895,1734032102.5506523
-1543,-3879,1734032102.8836498
-1553,-3863,1734032103.4176507
-1563,-3845,1734032103.5036523
-1573,-3831,1734032103.67365
-1583,-3817,1734032103.8006518
-1593,-3803,1734032104.0466511
-1603,-3789,1734032104.212652
-1613,-3774,1734032105.0976505
-1629,-3869,1734032106.8671703
-1639,-3852,1734032107.2011707
-1649,-3837,1734032107.369169
-1659,-3823,1734032107.876171
-1669,-3808,1734032107.9191723
-1679,-3794,1734032108.0481691
-1689,-3780,1734032108.134172
-1699,-3766,1734032108.1791725
-1709,-3752,1734032108.226169
-1723,-3742,1734032132.4022188
-1737,-3732,1734032133.1842167
-1751,-3722,1734032133.525217
-1765,-3722,1734032134.1682174
-1779,-3732,1734032136.2722328
-1793,-3732,1734032136.7752304
-1807,-3732,1734032136.8602316
-1821,-3742,1734032137.835235
-1835,-3752,1734032138.1362314
-1849,-3762,1734032138.823231
-1863,-3772,1734032139.3792303
-1877,-3782,1734032140.7622302
-1892,-3782,1734032142.2742305
-1906,-3792,1734032143.1293
-1920,-3782,1734032143.2139745
-1934,-3792,1734032143.8019743
-1948,-3792,1734032144.0149748
-1962,-3802,1734032144.0619748
-1976,-3812,1734032144.1039746
-1990,-3822,1734032147.3294961
-2004,-3832,1734032147.459497
-2018,-3842,1734032148.0114954
-2032,-3832,1734032148.613496
-2046,-3832,1734032148.7024956
-2060,-3842,1734032149.6854959
-2074,-3842,1734032151.3934984
-2088,-3852,1734032151.436495
-2102,-3862,1734032151.4804947
-2116,-3852,1734032153.1520193
-2130,-3852,1734032156.1480176
-2144,-3862,1734032156.9180286
-2158,-3872,1734032159.0490317
-2172,-3862,1734032160.428028
-2186,-3862,1734032160.6840284
-2200,-3872,1734032161.2460322
-2214,-3872,1734032162.8860312
-2228,-3882,1734032163.83503
-2242,-3892,1734032163.8800294
-2256,-3892,1734032164.9560323
-2270,-3902,1734032165.0430317
