x,y,t
-95,95,1733513834.2116663
-190,190,1733513837.0251913
-285,285,1733513837.108191
-380,380,1733513837.1511915
-471,285,1733513842.6087425
-376,380,1733513846.7352793
-281,475,1733513846.7819304
-186,570,1733513846.8269413
-91,665,1733513846.8689406
4,760,1733513846.9119408
99,855,1733513846.9549406
194,950,1733513847.001941
289,1045,1733513847.0439405
384,1140,1733513847.0859408
479,1235,1733513847.1269407
571,1330,1733513847.1689408
658,1425,1733513847.2109406
745,1520,1733513847.252941
826,1615,1733513847.294941
900,1710,1733513847.3379405
969,1804,1733513847.3849406
1032,1890,1733513847.4359405
1090,1972,1733513847.4839394
1146,2049,1733513847.52694
1200,2122,1733513847.5699406
1251,2190,1733513847.611941
1300,2254,1733513847.655941
1346,2307,1733513847.699941
1388,2356,1733513847.7409406
1425,2401,1733513847.7849407
1458,2440,1733513847.8279407
1487,2475,1733513847.8699408
1513,2505,1733513847.9139404
1538,2534,1733513847.9549406
1564,2560,1733513848.0009408
1589,2582,1733513848.0429409
1617,2601,1733513848.084941
1642,2617,1733513848.1259403
1667,2632,1733513848.1699405
1688,2646,1733513848.215941
1708,2657,1733513848.2589417
1729,2668,1733513848.3019407
1750,2678,1733513848.345941
1775,2688,1733513848.3889408
1804,2698,1733513848.436987
1832,2708,1733513848.4839861
1862,2718,1733513848.525987
1889,2728,1733513848.568987
1916,2738,1733513848.6169875
1940,2751,1733513848.6593857
1963,2763,1733513848.7003963
1988,2776,1733513848.7443962
2017,2786,1733513848.7883964
2059,2796,1733513848.8353965
2089,2891,1733513849.2074125
2117,2986,1733513849.2534118
2145,3081,1733513849.296414
2174,3176,1733513849.3404124
2202,3271,1733513849.384411
2227,3366,1733513849.4274118
2246,3461,1733513854.7516315
2266,3556,1733513854.7956326
2340,3628,1733513858.12615
2413,3698,1733513858.1681523
2488,3772,1733513858.2101502
2567,3849,1733513858.2521498
2648,3927,1733513858.296151
2699,3983,1733513858.5451531
2750,4037,1733513858.5861504
2802,4087,1733513858.6321497
2853,4139,1733513858.6761508
2904,4190,1733513858.7201512
2854,4285,1733513858.76115
2949,4380,1733513858.9271502
2973,4417,1733513858.9711504
2878,4322,1733513859.0161495
2783,4227,1733513859.05915
2688,4132,1733513859.3111503
2593,4037,1733513859.3511493
2498,3942,1733513859.394151
2403,3847,1733513859.4381514
2308,3752,1733513859.4861505
2318,3811,1733513859.941166
2328,3878,1733513860.0261643
2318,3948,1733513860.068164
2308,4015,1733513860.1101654
2296,4082,1733513860.193164
2284,4142,1733513860.2351644
2189,4047,1733513860.318165
2178,4065,1733513860.3611636
2164,4081,1733513860.4041643
2069,3986,1733513860.4951644
2048,4030,1733513860.536166
2030,4080,1733513860.5781643
2012,4131,1733513860.6201646
1989,4226,1733513860.6631632
1979,4244,1733513860.7861629
1969,4258,1733513860.8281643
1951,4269,1733513860.9531643
1933,4279,1733513860.9951649
1914,4289,1733513861.0381634
1932,4321,1733513861.754165
1965,4332,1733513862.084164
2028,4374,1733513862.5011637
2092,4409,1733513862.5861645
2159,4448,1733513862.631163
2235,4483,1733513862.7591634
2315,4521,1733513862.800164
2384,4544,1733513863.0091643
2450,4569,1733513863.0511634
2518,4594,1733513863.0931635
2589,4621,1733513863.1371644
2663,4656,1733513863.1781645
2735,4684,1733513863.2221646
2808,4720,1733513863.2671647
2862,4743,1733513863.975165
2917,4768,1733513864.017166
2970,4790,1733513864.059165
3023,4816,1733513864.1031651
3069,4834,1733513864.5231645
3115,4856,1733513864.5691636
3165,4877,1733513864.611166
3215,4899,1733513864.6531656
3275,4929,1733513865.3191679
3323,4952,1733513865.363166
3354,4967,1733513865.9091673
3387,4981,1733513865.9521677
3418,4991,1733513865.9941633
3445,5001,1733513866.0771668
3476,5011,1733513866.1201677
3505,5021,1733513866.163167
3532,5031,1733513866.2051632
3555,5041,1733513866.2501636
3575,5041,1733513866.292165
3592,5051,1733513866.583166
3607,5051,1733513866.6251674
3597,5035,1733513868.2621636
3587,5020,1733513868.303165
3571,5007,1733513868.4871676
3554,4989,1733513868.6181743
3535,4970,1733513868.660165
3519,4960,1733513868.7001636
3497,4942,1733513868.7441635
3479,4928,1733513868.787164
3464,4916,1733513868.8291647
3450,4926,1733513869.0411649
3432,4916,1733513869.1261644
3413,4906,1733513869.168166
3393,4896,1733513869.2101653
3375,4886,1733513869.2521653
3357,4896,1733513869.4591658
3339,4886,1733513869.504164
3321,4876,1733513869.550168
3301,4886,1733513869.5911665
3277,4876,1733513869.6341639
3257,4866,1733513869.6768897
3238,4856,1733513869.7188885
3215,4846,1733513869.7618883
3200,4836,1733513869.8448882
3186,4826,1733513869.8848886
3170,4816,1733513869.928888
3152,4805,1733513869.9698887
3132,4793,1733513870.01289
3113,4783,1733513870.0528872
3092,4773,1733513870.0968912
3073,4763,1733513870.137889
3055,4753,1733513870.1818893
3041,4743,1733513870.2236636
3027,4733,1733513870.3097317
3011,4723,1733513870.352721
2992,4713,1733513870.3957205
3027,4724,1733513872.469719
3064,4735,1733513872.513721
3100,4745,1733513872.5577207
3137,4756,1733513872.6417205
3171,4772,1733513872.7257206
3205,4793,1733513872.7667205
3239,4815,1733513873.303246
3277,4836,1733513873.8012435
3319,4860,1733513873.843244
3352,4874,1733513875.5019128
3377,4885,1733513875.5849135
3404,4896,1733513875.6679127
3425,4906,1733513875.7519135
3445,4916,1733513875.7939131
3466,4926,1733513875.8359165
3482,4926,1733513875.9179122
3496,4916,1733513875.9589136
3510,4906,1733513876.2159133
3524,4896,1733513876.344913
3514,4871,1733513876.725913
3504,4841,1733513876.7689123
3494,4811,1733513876.8119125
3484,4780,1733513876.8549132
3474,4749,1733513876.9019122
3464,4715,1733513876.9439235
3454,4675,1733513876.9869123
3444,4633,1733513877.0279133
3433,4588,1733513877.0699124
3419,4543,1733513877.1109126
3405,4499,1733513877.153912
3391,4460,1733513877.194913
3377,4423,1733513877.2379117
3361,4389,1733513877.2839127
3349,4354,1733513877.3259122
3335,4322,1733513877.3679123
3323,4289,1733513877.410913
3313,4257,1733513877.4569135
3302,4223,1733513877.501913
3288,4184,1733513877.5449128
3267,4142,1733513877.5869133
3244,4097,1733513877.6289127
3221,4053,1733513877.6739132
3196,4014,1733513877.7199123
3171,3975,1733513877.7609134
3145,3940,1733513877.802916
3120,3905,1733513877.8445992
3093,3870,1733513877.885641
3066,3838,1733513877.9276404
3040,3801,1733513877.970641
3010,3756,1733513878.01764
2977,3710,1733513878.0606418
2942,3664,1733513878.1026409
2906,3619,1733513878.1446404
2873,3580,1733513878.1856403
2843,3541,1733513878.2286403
2818,3502,1733513878.273641
2793,3465,1733513878.319641
2766,3428,1733513878.3616414
2742,3393,1733513878.4056442
2714,3358,1733513878.455643
2688,3320,1733513878.50164
2652,3279,1733513878.5446415
2613,3236,1733513878.5856407
2575,3193,1733513878.6286411
2535,3151,1733513878.671642
2493,3111,1733513878.717642
2451,3072,1733513878.7596416
2410,3035,1733513878.8036408
2371,2997,1733513878.8456407
2334,2959,1733513878.8896413
2290,2921,1733513878.9349673
2246,2879,1733513878.9764805
2196,2837,1733513879.0184808
2144,2795,1733513879.0594807
2092,2753,1733513879.102481
2043,2713,1733513879.1464808
1994,2674,1733513879.187481
1946,2637,1733513879.2290018
1900,2600,1733513879.2729998
1856,2564,1733513879.3169997
1813,2529,1733513879.361001
1769,2492,1733513879.402001
1722,2452,1733513879.450002
1670,2410,1733513879.500002
1619,2367,1733513879.5430005
1570,2324,1733513879.5850005
1522,2282,1733513879.6280003
1474,2241,1733513879.6710012
1429,2204,1733513879.7120013
1386,2165,1733513879.756001
1342,2130,1733513879.8010006
1296,2098,1733513879.8430026
1251,2063,1733513879.8860013
1205,2028,1733513879.9295852
1158,1989,1733513879.9725907
1109,1948,1733513880.0195906
1061,1907,1733513880.0615904
1019,1867,1733513880.1035907
979,1827,1733513880.1505904
937,1788,1733513880.1945918
897,1751,1733513880.2375908
857,1718,1733513880.2785916
818,1685,1733513880.3225904
777,1649,1733513880.3695893
733,1611,1733513880.4105906
686,1574,1733513880.4565904
640,1535,1733513880.5015898
595,1495,1733513880.5435905
551,1456,1733513880.5855906
507,1417,1733513880.6285906
465,1381,1733513880.6685898
426,1347,1733513880.7165887
389,1314,1733513880.7595892
352,1282,1733513880.8035903
313,1249,1733513880.8445907
271,1213,1733513880.8865905
225,1174,1733513880.9295902
176,1133,1733513880.9725895
131,1092,1733513881.018593
89,1048,1733513881.0625901
49,1007,1733513881.1045902
7,968,1733513881.1465902
-33,928,1733513881.1875918
-72,889,1733513881.2355893
-107,848,1733513881.2795894
-146,813,1733513881.3215895
-189,781,1733513881.3675919
-233,746,1733513881.408589
-275,709,1733513881.4575894
-317,670,1733513881.5025887
-356,628,1733513881.5445905
-391,590,1733513881.5865908
-428,552,1733513881.6305895
-461,515,1733513881.67459
-496,480,1733513881.71759
-531,445,1733513881.760591
-565,414,1733513881.8025901
-599,384,1733513881.845669
-636,354,1733513881.8897927
-674,322,1733513881.9348028
-712,289,1733513881.9768026
-749,254,1733513882.017817
-785,220,1733513882.060819
-818,187,1733513882.10182
-852,155,1733513882.1452057
-884,123,1733513882.1852627
-915,92,1733513882.228253
-947,62,1733513882.2702527
-977,32,1733513882.3122532
-1006,6,1733513882.3542528
-1036,-19,1733513882.3962526
-1065,-47,1733513882.4432526
-1097,-77,1733513882.4922519
-1129,-113,1733513882.535253
-1162,-150,1733513882.576253
-1194,-186,1733513882.6192524
-1226,-222,1733513882.6622524
-1258,-257,1733513882.7042527
-1290,-290,1733513882.747253
-1332,-310,1733513882.7912529
-1427,-215,1733513882.834253
-1458,-243,1733513882.87845
-1484,-271,1733513882.9194593
-1510,-299,1733513882.9634593
-1539,-336,1733513883.0044596
-1634,-241,1733513883.4594579
-1649,-276,1733513883.584459
-1639,-314,1733513883.7094593
-1629,-351,1733513883.751476
-1619,-388,1733513883.796475
-1609,-423,1733513883.839474
-1599,-448,1733513883.8854773
-1589,-475,1733513883.9274747
-1579,-502,1733513883.970474
-1569,-526,1733513884.016474
-1559,-547,1733513884.0574756
-1559,-569,1733513884.1024745
-1559,-592,1733513884.1464758
-1569,-611,1733513884.1884751
-1559,-633,1733513884.2344754
-1549,-650,1733513884.2786963
-1539,-664,1733513884.3199468
-1529,-680,1733513884.3669462
-1519,-697,1733513884.4109466
-1509,-711,1733513884.4549468
-1499,-725,1733513884.5019462
-1489,-743,1733513884.545946
-1479,-757,1733513884.5899458
-1489,-771,1733513884.67837
-1499,-790,1733513884.721392
-1509,-813,1733513884.7623808
-1519,-838,1733513884.8060234
-1529,-859,1733513884.8520236
-1539,-873,1733513884.8930235
-1549,-891,1733513884.9770231
-1559,-909,1733513885.0190237
-1569,-928,1733513885.0600233
-1579,-949,1733513885.1040232
-1589,-970,1733513885.1470237
-1599,-986,1733513885.1880233
-1609,-1000,1733513885.2730236
-1609,-1018,1733513885.4030237
-1599,-1034,1733513885.884544
-1589,-1053,1733513885.9285436
-1579,-1071,1733513885.9695444
