x,y,t
-53,95,1730089739.6396482
-104,190,1730089739.8855321
-156,285,1730089739.9305904
-209,380,1730089739.974589
-262,475,1730089740.0585902
-315,570,1730089740.1005895
-367,665,1730089740.18859
-422,760,1730089740.2323394
-476,855,1730089740.3163483
-528,950,1730089740.3623478
-581,1045,1730089740.448348
-634,1140,1730089740.4913504
-688,1235,1730089740.5353484
-739,1330,1730089740.5803487
-791,1425,1730089740.6233487
-845,1520,1730089740.6683478
-900,1615,1730089740.7123477
-955,1710,1730089740.7543483
-1008,1804,1730089740.9188757
-1066,1896,1730089740.9649189
-1121,1988,1730089741.0119293
-1173,2079,1730089741.0549297
-1229,2170,1730089741.0979297
-1283,2261,1730089741.1459298
-1337,2352,1730089741.1889298
-1393,2444,1730089741.2319295
-1446,2534,1730089741.2759306
-1499,2624,1730089741.3207562
-1553,2713,1730089741.3637652
-1607,2801,1730089741.4077652
-1662,2889,1730089741.4532557
-1720,2975,1730089741.4982674
-1776,3062,1730089741.5402672
-1836,3148,1730089741.5832667
-1892,3233,1730089741.668267
-1950,3318,1730089741.7122672
-2006,3402,1730089741.7552674
-2064,3484,1730089741.799267
-2120,3566,1730089741.8432674
-2176,3647,1730089741.8862674
-2231,3726,1730089741.9292674
-2287,3804,1730089742.0142674
-2341,3880,1730089742.100267
-2409,3955,1730089742.8137884
-2477,4029,1730089742.855788
-2548,4105,1730089742.9827883
-2622,4182,1730089743.279791
-2698,4257,1730089743.4477887
-2772,4331,1730089743.4907875
-2850,4406,1730089743.5347888
-2929,4482,1730089743.5787878
-3006,4557,1730089743.6647885
-3085,4634,1730089743.790789
-3163,4710,1730089743.8347878
-3241,4784,1730089743.8797886
-3318,4859,1730089743.921788
-3396,4933,1730089743.9667888
-3475,5007,1730089744.013788
-3552,5079,1730089744.0567884
-3631,5151,1730089744.10079
-3719,5221,1730089744.7337887
-3807,5291,1730089744.8647883
-3898,5362,1730089744.907788
-3991,5431,1730089744.9536543
-4084,5499,1730089744.995666
-4179,5568,1730089745.039666
-4274,5638,1730089745.0836658
-4369,5707,1730089745.131666
-4464,5776,1730089745.1736662
-4558,5841,1730089745.2626662
-4653,5908,1730089745.3046658
-4748,5975,1730089745.3486657
-4843,6042,1730089745.4326663
-4938,6107,1730089745.5188632
-5033,6170,1730089745.6038718
-5128,6231,1730089745.6888716
-5223,6292,1730089745.7328718
-5318,6352,1730089745.7768717
-5413,6414,1730089745.8208716
-5508,6475,1730089745.8648715
-5603,6534,1730089745.907872
-5698,6596,1730089745.9523435
-5793,6659,1730089745.9982593
-5888,6721,1730089746.0432675
-5983,6783,1730089746.0882676
-6078,6844,1730089746.1332676
-6173,6905,1730089746.1792674
-6268,6965,1730089746.2232676
-6363,7024,1730089746.2672687
-6458,7082,1730089746.3132696
-6553,7142,1730089746.356267
-6648,7202,1730089746.3992677
-6743,7260,1730089746.4432678
-6838,7318,1730089746.4869213
-6933,7374,1730089746.5316753
-7028,7430,1730089746.5736854
-7123,7486,1730089746.6166854
-7218,7542,1730089746.659685
-7313,7598,1730089746.7026844
-7408,7655,1730089746.7466843
-7503,7711,1730089746.7896843
-7598,7767,1730089746.8336844
-7693,7824,1730089746.8786848
-7788,7879,1730089746.9226842
-7883,7933,1730089746.9656844
-7978,7986,1730089747.0116851
-8073,8040,1730089747.0546844
-8168,8093,1730089747.0986838
-8263,8144,1730089747.1456842
-8358,8197,1730089747.1876848
-8453,8250,1730089747.230684
-8548,8304,1730089747.2766843
-8643,8358,1730089747.321684
-8738,8411,1730089747.365684
-8833,8464,1730089747.4126837
-8928,8518,1730089747.4566844
-9023,8575,1730089747.4986844
-9118,8626,1730089747.545685
-9213,8679,1730089747.5876844
-9308,8732,1730089747.6296844
-9403,8784,1730089747.6716843
-9498,8835,1730089747.7156844
-9593,8885,1730089747.7626843
-9688,8938,1730089747.8047
-9783,8990,1730089747.8477
-9878,9043,1730089747.8906991
-9973,9096,1730089747.9336998
-10068,9149,1730089747.9807036
