x,y,t
-2261,1744,1730384585.6035104
-2305,1720,1730384585.6465104
-2347,1698,1730384585.688473
-2386,1675,1730384585.7315168
-2421,1652,1730384585.7785316
-2456,1629,1730384585.8195329
-2489,1605,1730384585.862532
-2521,1581,1730384585.9051595
-2549,1560,1730384585.9481578
-2578,1541,1730384585.9941576
-2603,1525,1730384586.0361593
-2624,1510,1730384586.0801585
-2640,1494,1730384586.1221604
-2650,1479,1730384586.2061598
-2660,1460,1730384586.2481577
-2670,1443,1730384586.2941587
-2680,1429,1730384586.3361602
-2690,1415,1730384586.381159
-2700,1429,1730384587.32883
-2700,1445,1730384587.36983
-2700,1463,1730384587.4138298
-2690,1483,1730384587.457493
-2680,1505,1730384587.4994953
-2670,1531,1730384587.5454943
-2660,1559,1730384587.586494
-2650,1589,1730384587.6304948
-2640,1622,1730384587.6714942
-2630,1654,1730384587.714493
-2620,1686,1730384587.757493
-2609,1719,1730384587.8000169
-2594,1749,1730384587.8449554
-2576,1776,1730384587.888956
-2555,1803,1730384587.931559
-2531,1830,1730384587.9745717
-2507,1854,1730384588.0175729
-2483,1877,1730384588.0625722
-2463,1898,1730384588.1045706
-2444,1918,1730384588.1485717
-2425,1937,1730384588.1945705
-2405,1951,1730384588.2355723
-2384,1961,1730384588.2785718
-2363,1971,1730384588.3212614
-2342,1981,1730384588.3642979
-2318,1991,1730384588.4062982
-2292,2001,1730384588.4475322
-2268,2011,1730384588.4915326
-2245,2011,1730384588.5328095
-2222,2011,1730384588.5788176
-2204,2001,1730384588.6198177
-2189,1985,1730384588.6638176
-2178,1961,1730384588.7078176
-2168,1935,1730384588.748833
-2156,1910,1730384588.7948332
-2140,1885,1730384588.836832
-2124,1862,1730384588.8808327
-2110,1834,1730384588.9228396
-2096,1801,1730384588.9661229
-2086,1764,1730384589.0121589
-2076,1723,1730384589.0548556
-2076,1684,1730384589.0988004
-2086,1649,1730384589.1458087
-2096,1611,1730384589.1877441
-2106,1573,1730384589.2307518
-2117,1522,1730384589.314766
-2136,1460,1730384589.3607647
-2162,1381,1730384589.4007652
-2192,1300,1730384589.4461532
-2232,1221,1730384589.4891572
-2272,1130,1730384589.5341592
-2322,1037,1730384589.578158
-2378,954,1730384589.619158
-2438,863,1730384589.6631582
-2508,782,1730384589.705157
-2587,698,1730384589.7481582
-2673,621,1730384589.7941575
-2767,551,1730384589.8361578
-2862,487,1730384589.8801577
-2957,427,1730384589.9261582
-3052,372,1730384589.968354
-3147,343,1730384590.216354
-3242,329,1730384590.2623541
-3337,318,1730384590.3033547
-3432,308,1730384590.346354
-3527,298,1730384590.3883557
-3622,393,1730384591.0073133
-3717,488,1730384591.1309457
-3812,583,1730384591.1784897
-3907,678,1730384591.2220466
-4002,773,1730384591.3056211
