x,y,t
56,95,1730092826.6465766
115,190,1730092826.692578
171,285,1730092826.733596
226,380,1730092826.7735946
131,285,1730092826.8165967
36,190,1730092826.8661113
-59,95,1730092826.9071262
-154,0,1730092826.9481232
-249,-95,1730092826.9931242
-198,0,1730092827.032956
-293,-95,1730092827.0739558
-388,-190,1730092827.1149538
-343,-95,1730092827.1639526
-438,-190,1730092827.2069762
-533,-285,1730092827.2469761
-628,-380,1730092827.2939756
-583,-285,1730092827.3395088
-678,-380,1730092827.3825083
-773,-475,1730092827.4275079
-868,-570,1730092827.4710374
-963,-665,1730092827.5131483
-1058,-760,1730092827.5541878
-1153,-855,1730092827.598708
-1106,-760,1730092827.6407118
-1201,-855,1730092827.6807153
-1296,-950,1730092827.7267115
-1391,-1045,1730092827.7680511
-1486,-1140,1730092827.8090599
-1581,-1235,1730092827.8570735
-1676,-1330,1730092827.897606
-1622,-1235,1730092827.9406059
-1717,-1330,1730092827.9921174
-1812,-1425,1730092828.0317938
-1907,-1520,1730092828.0737936
-2002,-1615,1730092828.1258156
-2097,-1710,1730092828.164831
-2192,-1805,1730092828.2068315
-2287,-1900,1730092828.2545118
-2382,-1995,1730092828.294029
-2477,-2090,1730092828.3350294
-2572,-2185,1730092828.3815327
-2512,-2090,1730092828.4243305
-2607,-2185,1730092828.4663298
-2702,-2280,1730092828.5123534
-2642,-2185,1730092828.5570912
-2737,-2280,1730092828.5981297
-2832,-2375,1730092828.6501377
-2927,-2470,1730092828.689191
-2864,-2375,1730092828.7312074
-2959,-2470,1730092828.77771
-2893,-2375,1730092828.8182418
-2827,-2280,1730092828.860245
-2922,-2375,1730092828.9099398
-2858,-2280,1730092828.952453
-2793,-2185,1730092828.9944506
-2728,-2090,1730092829.0476646
-2823,-2185,1730092829.0910337
-2758,-2090,1730092829.1330414
-2695,-1995,1730092829.1790607
-2790,-2090,1730092829.223515
-2726,-1995,1730092829.2655146
-2664,-1900,1730092829.3135178
-2604,-1805,1730092829.3570907
-2546,-1710,1730092829.3970907
-2484,-1615,1730092829.4442945
-2579,-1710,1730092829.4871066
-2674,-1805,1730092829.5281084
-2769,-1900,1730092829.5771048
-2864,-1995,1730092829.6207838
-2959,-2090,1730092829.6607993
-3054,-2185,1730092829.7097988
-3149,-2280,1730092829.7508166
-3244,-2375,1730092829.79051
-3339,-2470,1730092829.8375592
-3434,-2565,1730092829.8775795
-3529,-2660,1730092829.916577
-3624,-2755,1730092829.959578
-3719,-2850,1730092830.0012488
-3814,-2945,1730092830.0432453
-3909,-3040,1730092830.0922458
-4004,-3135,1730092830.1328564
-4099,-3230,1730092830.1728542
-4194,-3325,1730092830.2158535
-4289,-3420,1730092830.264358
-4384,-3515,1730092830.3058712
