x,y,t
-10,-14,1732570346.1011705
-20,-28,1732570346.1421988
-30,-43,1732570346.8980656
-30,-57,1732570347.4504924
-30,-71,1732570347.494033
-20,-85,1732570347.535373
-10,-99,1732570348.2184474
0,-113,1732570348.3019543
10,-127,1732570348.3434837
20,-141,1732570348.71771
30,-155,1732570348.8013043
40,-169,1732570349.272054
50,-183,1732570349.3130949
60,-198,1732570349.3554835
70,-214,1732570349.3967717
80,-230,1732570349.4396577
90,-244,1732570349.4820766
100,-258,1732570349.5266144
110,-272,1732570349.8175263
94,-282,1732570351.1048968
78,-292,1732570351.1470122
60,-302,1732570351.193047
41,-312,1732570351.2338724
21,-322,1732570351.2769034
4,-322,1732570351.3180246
-12,-332,1732570351.360869
-26,-342,1732570351.4011917
-42,-342,1732570351.4448364
-62,-332,1732570351.4869065
-79,-322,1732570351.5295684
-95,-322,1732570351.5716004
-111,-322,1732570351.6131365
-125,-312,1732570351.6559312
-141,-302,1732570351.6972692
-158,-292,1732570351.7413023
-175,-282,1732570351.7848418
-191,-292,1732570351.8276575
-207,-282,1732570352.003797
-224,-282,1732570352.046607
-238,-292,1732570352.0877285
-252,-292,1732570352.1300526
-268,-282,1732570352.1716142
-285,-282,1732570352.2138677
-302,-282,1732570352.2553024
-316,-292,1732570352.2978814
-330,-282,1732570352.3845327
-347,-282,1732570352.427915
-363,-292,1732570352.4693255
-377,-302,1732570352.5111346
-391,-302,1732570352.5514534
-407,-292,1732570352.594362
-424,-282,1732570352.6361132
-440,-272,1732570352.6791422
-454,-262,1732570352.8471322
-468,-252,1732570352.8959312
-482,-242,1732570353.071813
-496,-242,1732570353.1136816
-510,-232,1732570353.1557667
-524,-232,1732570353.2852278
-538,-242,1732570353.3267653
-553,-242,1732570353.494013
-568,-242,1732570353.5358171
-582,-232,1732570353.7038374
-599,-242,1732570353.9646857
-615,-252,1732570354.0089848
-629,-262,1732570354.050786
-643,-252,1732570354.1362114
-657,-262,1732570354.1777627
-671,-272,1732570354.430337
-685,-282,1732570354.5546584
-699,-292,1732570354.597698
-713,-302,1732570354.637512
-727,-312,1732570355.278452
-741,-322,1732570355.7787533
-755,-332,1732570355.8222177
-769,-322,1732570356.2939126
-783,-312,1732570356.3777764
-797,-312,1732570356.752937
-744,-407,1732570357.4700747
-693,-502,1732570357.5118802
-645,-597,1732570357.7168226
-675,-692,1732570357.7608483
-630,-787,1732570357.9715095
-584,-882,1732570358.1716313
-539,-977,1732570358.2529333
-566,-1072,1732570358.2939694
-597,-1167,1732570358.3379943
-625,-1262,1732570358.3800244
-582,-1357,1732570358.544332
-536,-1452,1732570358.6274147
-497,-1547,1732570358.7063656
-459,-1642,1732570358.7932837
-423,-1737,1732570358.9279783
-413,-1832,1732570358.9680035
-378,-1927,1732570359.0105963
-409,-2022,1732570359.1344683
-381,-2117,1732570359.2178688
-354,-2212,1732570359.2609015
-324,-2307,1732570359.301938
-359,-2212,1732570359.828649
-396,-2117,1732570359.8696797
-435,-2022,1732570359.9185836
-472,-1927,1732570359.9630222
-508,-1832,1732570360.0032048
-541,-1737,1732570360.045511
-575,-1642,1732570360.0858495
-604,-1547,1732570360.1278813
-634,-1456,1732570360.1697044
-658,-1373,1732570360.212772
-681,-1292,1732570360.254875
-702,-1219,1732570360.2964277
-719,-1154,1732570360.3394723
-734,-1093,1732570360.380497
-748,-1035,1732570360.4215362
-764,-982,1732570360.4644136
-780,-932,1732570360.5044534
-796,-886,1732570360.547237
-810,-847,1732570360.59278
-823,-812,1732570360.6351097
-835,-777,1732570360.677526
-846,-747,1732570360.7185636
-856,-719,1732570360.760602
-866,-692,1732570360.805049
-876,-670,1732570360.8474176
-886,-649,1732570360.8934977
-896,-629,1732570360.9433808
-906,-612,1732570360.9848223
-916,-595,1732570361.0278609
-926,-581,1732570361.066891
-936,-567,1732570361.1122181
-926,-551,1732570364.4107654
-910,-541,1732570365.4786742
-888,-531,1732570365.5216973
-865,-521,1732570365.5638368
-847,-511,1732570365.6068745
-830,-501,1732570365.6483018
-813,-491,1732570365.6941292
-798,-501,1732570365.7371666
-784,-501,1732570365.7785437
-766,-491,1732570367.3139188
-746,-476,1732570367.3544862
-715,-456,1732570367.3979788
-676,-430,1732570367.438847
-638,-406,1732570367.481299
-606,-389,1732570367.5216367
-564,-364,1732570367.5635445
-525,-339,1732570367.6050699
-492,-311,1732570367.64733
-454,-277,1732570367.6887493
-415,-247,1732570367.7316067
-383,-220,1732570367.7764492
-349,-188,1732570367.8174825
-324,-154,1732570367.8615158
-301,-112,1732570367.9041612
-278,-71,1732570367.9481475
-257,-29,1732570367.9891803
-239,13,1732570368.0317898
-221,59,1732570368.0773492
-209,103,1732570368.1173801
-196,152,1732570368.1607027
-186,202,1732570368.2053516
-176,257,1732570368.2465625
-166,337,1732570368.289357
-156,402,1732570368.3314643
-146,473,1732570368.3763974
-136,545,1732570368.4180853
-126,619,1732570368.498165
-116,699,1732570368.5445051
-106,771,1732570368.5880558
-106,847,1732570368.6707084
-116,925,1732570368.871709
-126,1016,1732570369.0031457
-136,1111,1732570369.0861309
-146,1197,1732570369.1296842
-136,1292,1732570369.1717093
-126,1387,1732570369.2127683
-126,1482,1732570369.2558053
-136,1577,1732570369.2978342
-146,1672,1732570369.3433673
-156,1767,1732570369.386061
-156,1862,1732570369.4273062
-166,1957,1732570369.470339
-176,2052,1732570369.552791
-186,2146,1732570369.5935783
-196,2241,1732570369.6354322
-206,2336,1732570369.6784673
-216,2431,1732570369.7184997
-226,2526,1732570369.7618577
-236,2621,1732570369.8041756
-246,2716,1732570369.84659
-256,2810,1732570369.8903885
-266,2903,1732570369.9384902
-276,2994,1732570369.9815269
-286,3082,1732570370.0231059
-296,3167,1732570370.064996
-306,3250,1732570370.1101556
-306,3333,1732570370.1515224
-306,3412,1732570370.1938815
-306,3491,1732570370.2334714
-306,3569,1732570370.277671
-316,3646,1732570370.3192885
-326,3722,1732570370.3612351
-336,3799,1732570370.4044342
-347,3876,1732570370.445469
-358,3957,1732570370.4885056
-372,4038,1732570370.5309193
-384,4119,1732570370.5719538
-398,4201,1732570370.614058
-412,4284,1732570370.6595244
-426,4368,1732570370.7013516
-440,4454,1732570370.743892
-456,4540,1732570370.7859354
-472,4627,1732570370.8269796
-489,4714,1732570370.8693166
-506,4801,1732570370.917845
-523,4889,1732570370.9628701
-541,4977,1732570371.0037158
-557,5067,1732570371.048041
-573,5158,1732570371.08808
-590,5250,1732570371.1311247
-608,5343,1732570371.171412
-628,5437,1732570371.2145197
-649,5532,1732570371.2545476
-670,5627,1732570371.2973628
-691,5722,1732570371.3390622
-712,5817,1732570371.3805997
-733,5911,1732570371.4254203
-753,6003,1732570371.4674535
-775,6096,1732570371.5112157
-797,6189,1732570371.5530279
-819,6282,1732570371.595486
-840,6373,1732570371.6375155
-861,6464,1732570371.6799436
-881,6555,1732570371.725413
-900,6647,1732570371.7674422
-919,6740,1732570371.8120446
-939,6833,1732570371.8520741
-957,6927,1732570371.8981342
-973,7020,1732570371.9446657
-989,7112,1732570371.9874237
-1004,7204,1732570372.0294502
-1018,7296,1732570372.071531
-1032,7390,1732570372.1131687
-1047,7484,1732570372.1540542
-1060,7576,1732570372.1966898
-1073,7667,1732570372.2430003
-1087,7757,1732570372.2846973
-1099,7847,1732570372.3275213
-1110,7938,1732570372.367555
-1120,8026,1732570372.411459
-1130,8115,1732570372.4512641
-1140,8203,1732570372.4954786
-1150,8289,1732570372.5382576
-1160,8375,1732570372.5800166
-1170,8460,1732570372.6220515
-1180,8544,1732570372.663587
-1190,8628,1732570372.7101228
-1200,8709,1732570372.7529383
-1210,8790,1732570372.7937512
-1210,8869,1732570372.8367877
-1210,8946,1732570372.8788223
-1200,9023,1732570372.9283547
-1200,9100,1732570372.971382
-1190,9173,1732570373.0139182
-1180,9246,1732570373.0556774
-1170,9317,1732570373.0980124
-1180,9391,1732570373.1392581
-1170,9462,1732570373.181375
-1160,9533,1732570373.2229102
-1150,9603,1732570373.26545
-1140,9670,1732570373.3062181
