x,y,t
16,-14,1733515144.8686013
34,-27,1733515144.9146025
52,-40,1733515144.9586039
70,-53,1733515145.0016036
86,-65,1733515145.0476015
103,-77,1733515145.0916014
119,-88,1733515145.1356027
133,-98,1733515145.183602
147,-108,1733515146.6586027
161,-118,1733515146.703603
175,-128,1733515146.7496035
189,-138,1733515146.8356032
203,-148,1733515147.285602
217,-158,1733515150.9906027
227,-173,1733515151.2096012
237,-187,1733515151.3896017
247,-201,1733515151.5216029
257,-215,1733515151.736603
267,-230,1733515151.7816014
277,-246,1733515151.824602
287,-264,1733515157.002123
297,-279,1733515159.563641
307,-293,1733515159.9546413
317,-315,1733515160.130641
327,-330,1733515160.566641
327,-346,1733515161.567641
327,-360,1733515161.8746414
337,-374,1733515164.0566556
347,-388,1733515164.185655
357,-403,1733515164.4186552
367,-419,1733515164.548654
377,-437,1733515164.6766567
377,-453,1733515164.7196555
387,-468,1733515164.764655
397,-482,1733515164.897655
407,-496,1733515165.6386554
417,-510,1733515165.682656
427,-524,1733515165.7286541
417,-538,1733515166.081656
417,-552,1733515168.9546692
427,-566,1733515169.6086702
437,-580,1733515169.6526692
447,-596,1733515169.6996698
437,-610,1733515182.372218
447,-625,1733515185.18227
461,-615,1733515188.6900082
471,-600,1733515193.4682329
471,-586,1733515193.773247
461,-572,1733515193.8162472
451,-558,1733515194.1202502
436,-548,1733515194.3852472
426,-533,1733515194.6502473
410,-522,1733515194.734247
394,-511,1733515194.778247
378,-500,1733515194.8212473
361,-489,1733515194.867247
351,-475,1733515194.9982476
330,-460,1733515195.2062476
310,-446,1733515195.253248
293,-430,1733515195.2982466
279,-414,1733515195.3422482
265,-393,1733515195.3852475
253,-371,1733515195.4312487
239,-350,1733515195.475248
222,-330,1733515195.51725
208,-314,1733515195.560249
192,-298,1733515195.6042473
182,-280,1733515195.693248
172,-262,1733515195.738248
162,-242,1733515195.7832468
150,-225,1733515195.8252473
137,-209,1733515195.8712475
127,-193,1733515196.0922477
117,-175,1733515196.1342478
117,-155,1733515196.1782484
107,-137,1733515196.2222474
97,-120,1733515196.270247
87,-102,1733515196.3162472
77,-84,1733515196.3592474
67,-66,1733515196.4032476
57,-46,1733515196.4502468
67,-25,1733515196.493248
77,-3,1733515196.5362477
87,20,1733515196.5832481
97,39,1733515196.624751
107,56,1733515196.670254
117,74,1733515196.7162654
127,90,1733515196.7582653
137,106,1733515196.8022654
147,124,1733515196.8492653
157,142,1733515196.8912656
167,160,1733515196.9362655
177,178,1733515196.9832659
187,196,1733515197.0252655
197,210,1733515197.0692656
207,228,1733515197.1162655
217,245,1733515197.1592655
227,262,1733515197.2012653
237,280,1733515197.2512808
248,298,1733515197.298281
258,312,1733515197.5162807
270,328,1733515197.559281
284,338,1733515197.8602822
302,348,1733515197.989281
318,358,1733515198.0342805
336,368,1733515198.0772817
354,368,1733515198.1202815
370,358,1733515198.1662812
386,368,1733515198.2112813
402,368,1733515198.2572808
418,358,1733515198.29928
435,368,1733515198.3422818
451,358,1733515198.384281
472,348,1733515198.426282
488,338,1733515198.471282
503,328,1733515198.5162814
517,318,1733515198.5602808
532,318,1733515198.820281
566,308,1733515198.8672814
601,298,1733515198.909282
628,288,1733515198.9532828
644,288,1733515198.999284
658,278,1733515199.0422812
672,268,1733515199.2612813
694,258,1733515199.5672815
718,247,1733515199.6092808
729,233,1733515199.6982808
739,217,1733515199.7422812
749,196,1733515199.7842808
759,177,1733515199.8322806
770,158,1733515199.8742807
793,130,1733515199.9172807
819,101,1733515199.9592805
844,69,1733515200.0022812
860,44,1733515200.0512822
873,26,1733515200.095282
883,5,1733515200.1392815
893,-15,1733515200.1832812
903,-29,1733515200.229282
893,-45,1733515200.2792802
883,-61,1733515200.3232803
873,-75,1733515200.6697214
863,-89,1733515200.7157307
863,-107,1733515200.758275
853,-122,1733515200.802287
843,-138,1733515200.8442867
833,-152,1733515200.8872862
823,-166,1733515200.9332864
813,-188,1733515200.9752862
803,-204,1733515201.0182862
793,-223,1733515201.0632863
783,-243,1733515201.1052866
773,-258,1733515201.193286
763,-274,1733515201.2372863
753,-288,1733515201.2872849
743,-304,1733515201.3322864
733,-322,1733515201.3742862
723,-341,1733515201.4182866
723,-359,1733515201.4612865
713,-374,1733515201.5032864
703,-392,1733515201.5492866
693,-406,1733515201.594287
683,-420,1733515201.6382866
673,-435,1733515201.6832864
663,-451,1733515201.7272863
