x,y,t
72,95,1730091276.2428608
88,190,1730091276.6103818
101,285,1730091276.6543813
114,380,1730091276.6953816
125,475,1730091276.7393818
135,570,1730091276.7845078
145,665,1730091276.8255165
155,760,1730091276.869534
165,855,1730091276.9115307
175,950,1730091276.9535303
185,1045,1730091276.9955328
195,1140,1730091277.0405307
205,1235,1730091277.0865312
215,1330,1730091277.1275313
225,1425,1730091277.16953
235,1520,1730091277.2105305
245,1615,1730091277.253531
255,1710,1730091277.2945313
265,1805,1730091277.3365314
275,1900,1730091277.3795302
285,1995,1730091277.4215307
295,2090,1730091277.4675298
285,2185,1730091277.5095308
275,2274,1730091277.5510354
265,2360,1730091277.5930445
255,2443,1730091277.639657
245,2523,1730091277.6843708
234,2602,1730091277.7263796
224,2679,1730091277.7703793
214,2750,1730091277.8113794
204,2819,1730091277.8533802
194,2883,1730091277.8953798
184,2942,1730091277.937382
172,3000,1730091277.9813795
158,3053,1730091278.0223796
145,3106,1730091278.0673802
131,3157,1730091278.1093798
118,3206,1730091278.1523788
108,3252,1730091278.194379
98,3296,1730091278.2373796
88,3336,1730091278.278395
78,3373,1730091278.3203936
68,3404,1730091278.3613937
58,3434,1730091278.4033952
48,3462,1730091278.4443936
38,3488,1730091278.4873939
28,3514,1730091278.5283928
18,3538,1730091278.570394
8,3559,1730091278.612394
-2,3580,1730091278.653394
8,3598,1730091278.695666
18,3614,1730091278.7366767
28,3629,1730091278.7786763
38,3642,1730091278.8206766
48,3653,1730091278.861676
58,3663,1730091278.9036765
68,3673,1730091278.9456763
78,3683,1730091278.9876764
88,3693,1730091279.0296762
98,3703,1730091279.0706763
109,3713,1730091279.1146936
120,3713,1730091279.1556945
132,3703,1730091279.2006915
143,3693,1730091279.2426918
154,3683,1730091279.2846925
165,3673,1730091279.3246925
175,3663,1730091279.368691
185,3653,1730091279.4096925
199,3643,1730091279.4526932
217,3633,1730091279.4946928
240,3623,1730091279.5376918
263,3613,1730091279.5786936
287,3603,1730091279.6226919
313,3592,1730091279.667692
338,3582,1730091279.7086928
366,3570,1730091279.7516916
390,3560,1730091279.7916934
418,3549,1730091279.835692
446,3539,1730091279.876692
475,3528,1730091279.919692
510,3514,1730091279.961613
542,3502,1730091280.002656
577,3491,1730091280.044656
611,3476,1730091280.0866566
648,3461,1730091280.128656
683,3447,1730091280.170656
720,3429,1730091280.2126706
757,3414,1730091280.2546706
794,3395,1730091280.2956703
838,3381,1730091280.3376703
884,3368,1730091280.3786712
930,3355,1730091280.4216714
978,3337,1730091280.463672
1025,3320,1730091280.50567
1069,3304,1730091280.5476723
1113,3290,1730091280.5896719
1158,3280,1730091280.63667
1205,3269,1730091280.678671
1257,3259,1730091280.7196712
1313,3249,1730091280.8026714
1371,3239,1730091280.8456707
1429,3229,1730091280.88667
1487,3219,1730091280.9286702
1542,3209,1730091280.9696708
1598,3199,1730091281.0116694
1656,3189,1730091281.0526698
1726,3179,1730091281.2176704
1793,3169,1730091281.2586696
1857,3159,1730091281.3016706
1920,3149,1730091281.386672
1994,3139,1730091281.4686732
2076,3129,1730091281.509671
2156,3129,1730091281.5526695
2233,3139,1730091281.5936704
2316,3149,1730091281.636672
2395,3159,1730091281.6766708
2477,3169,1730091281.7196705
2552,3179,1730091281.760671
2631,3189,1730091281.8036706
2716,3199,1730091281.844671
2803,3209,1730091281.8876696
2894,3220,1730091281.9286704
2985,3234,1730091281.9724114
3075,3248,1730091282.014444
3164,3263,1730091282.057444
3250,3277,1730091282.1014438
3335,3292,1730091282.1424441
3416,3308,1730091282.186444
3503,3319,1730091282.229446
3584,3330,1730091282.2704437
3670,3343,1730091282.3134441
3762,3358,1730091282.3544438
3857,3374,1730091282.3974442
3952,3386,1730091282.4394438
4035,3396,1730091282.6014438
4129,3406,1730091282.6424441
4220,3416,1730091282.6864452
4315,3482,1730091283.1689699
4410,3417,1730091283.2939694
4505,3355,1730091283.336969
4600,3295,1730091283.3789692
4695,3235,1730091283.4209702
4790,3173,1730091283.4649696
4885,3101,1730091283.5049698
4980,3023,1730091283.5509696
5075,2937,1730091283.5929694
5170,2846,1730091283.6369703
5265,2752,1730091283.6789708
5360,2657,1730091283.7209692
5455,2562,1730091283.7619698
5550,2467,1730091283.8039694
5645,2372,1730091283.8449688
5740,2277,1730091283.8869696
5835,2182,1730091283.9289703
5930,2087,1730091283.9709697
6025,1992,1730091284.0129695
6120,1897,1730091284.054969
6215,1802,1730091284.09797
6310,1707,1730091284.139971
6405,1612,1730091284.1849697
6500,1517,1730091284.2259693
6595,1422,1730091284.2689698
6690,1327,1730091284.3119693
6785,1232,1730091284.3529692
6880,1137,1730091284.3959696
6975,1042,1730091284.4369695
7070,947,1730091284.4789693
7165,852,1730091284.5219693
7260,757,1730091284.5629702
7355,662,1730091284.6069696
7450,567,1730091284.6479697
7545,472,1730091284.6889706
7640,377,1730091284.731973
7735,282,1730091284.7749696
7830,187,1730091284.8199704
7925,93,1730091284.86197
8020,-2,1730091284.9039695
8115,-94,1730091284.9459705
8210,-186,1730091284.9869697
8305,-274,1730091285.0289693
8400,-362,1730091285.0709693
8495,-444,1730091285.1129706
8590,-527,1730091285.1549697
8685,-607,1730091285.1959696
8780,-682,1730091285.2387755
8875,-756,1730091285.2797832
8970,-826,1730091285.3217828
9065,-896,1730091285.363783
9160,-962,1730091285.4057827
9255,-1027,1730091285.4487846
9350,-1089,1730091285.490783
9445,-1147,1730091285.5337842
9540,-1200,1730091285.574783
9635,-1253,1730091285.6197832
9730,-1302,1730091285.6616042
9825,-1349,1730091285.7046142
9920,-1395,1730091285.7466128
10015,-1439,1730091285.7886126
10110,-1481,1730091285.8296127
10205,-1521,1730091285.872613
10300,-1560,1730091285.914616
10395,-1595,1730091285.9576128
10490,-1632,1730091286.0006285
10585,-1656,1730091286.0426285
10680,-1684,1730091286.08763
10775,-1708,1730091286.128629
10870,-1728,1730091286.1706302
10965,-1753,1730091286.212629
11060,-1774,1730091286.2536304
11155,-1792,1730091286.2956288
11250,-1811,1730091286.3366294
11345,-1828,1730091286.3796294
11440,-1843,1730091286.4206295
11535,-1858,1730091286.4626288
11630,-1869,1730091286.503629
11725,-1880,1730091286.546631
11820,-1894,1730091286.5876298
11915,-1906,1730091286.6326292
12010,-1918,1730091286.6736336
12105,-1929,1730091286.7196305
12200,-1940,1730091286.7613354
12295,-1950,1730091286.8043497
12390,-1960,1730091286.8463438
12485,-1970,1730091286.8883443
12580,-1980,1730091286.9313457
12675,-1990,1730091286.9733443
12770,-2000,1730091287.0183442
12865,-2010,1730091287.062344
12960,-2020,1730091287.103346
13055,-2030,1730091287.1453602
13150,-2040,1730091287.1883602
13245,-2050,1730091287.2293606
13340,-2060,1730091287.2721412
13435,-2070,1730091287.3121889
13530,-2080,1730091287.354189
13625,-2090,1730091287.3949814
13720,-2100,1730091287.4369915
13815,-2110,1730091287.479006
13910,-2120,1730091287.5210059
14005,-2130,1730091287.5640078
14098,-2140,1730091287.6050062
14188,-2150,1730091287.6510062
14277,-2160,1730091287.6910057
14364,-2170,1730091287.7360065
14448,-2180,1730091287.7780056
