x,y,t
35,-17,1729273358.7624817
59,-32,1729273358.7814777
76,-46,1729273358.7974808
90,-62,1729273358.8214774
101,-80,1729273358.8444781
111,-98,1729273358.8604777
121,-118,1729273358.8874784
131,-139,1729273358.9054773
141,-160,1729273358.9254797
151,-180,1729273358.9504778
161,-201,1729273358.9644794
171,-225,1729273358.9904778
183,-251,1729273359.0144775
201,-280,1729273359.0354779
222,-310,1729273359.0514789
245,-339,1729273359.0804772
270,-367,1729273359.1014776
297,-396,1729273359.1164782
325,-425,1729273359.1374817
353,-454,1729273359.1624775
381,-484,1729273359.1797063
410,-514,1729273359.2007084
438,-546,1729273359.2237058
463,-578,1729273359.247706
484,-612,1729273359.265708
501,-649,1729273359.2877085
512,-688,1729273359.3177056
522,-729,1729273359.3307066
522,-770,1729273359.3587058
512,-808,1729273359.3747056
501,-844,1729273359.3997061
487,-879,1729273359.4197066
470,-912,1729273359.4447057
454,-944,1729273359.4617076
438,-976,1729273359.486706
423,-1006,1729273359.5027056
410,-1036,1729273359.525706
397,-1063,1729273359.5507057
381,-1085,1729273359.5687058
360,-1102,1729273359.5917056
337,-1116,1729273359.6147063
307,-1126,1729273359.634707
267,-1136,1729273359.6577058
222,-1146,1729273359.678292
174,-1156,1729273359.7032938
124,-1166,1729273359.7222936
71,-1176,1729273359.7412922
16,-1176,1729273359.7682922
-43,-1176,1729273359.789294
-106,-1166,1729273359.8152921
-171,-1156,1729273359.8362923
-240,-1146,1729273359.8572931
-312,-1136,1729273359.8792922
-388,-1126,1729273359.9022925
-466,-1116,1729273359.9302921
-545,-1106,1729273359.9562922
-626,-1096,1729273359.9762926
-708,-1086,1729273359.997292
-792,-1076,1729273360.020297
-878,-1066,1729273360.0432944
-965,-1056,1729273360.0643024
-1053,-1046,1729273360.0822916
-1144,-1035,1729273360.1102922
-1235,-1023,1729273360.129292
-1327,-1010,1729273360.1592925
-1418,-997,1729273360.1782928
-1509,-983,1729273360.2099597
-1600,-968,1729273360.2279596
-1694,-953,1729273360.2569609
-1789,-939,1729273360.2789595
-1884,-925,1729273360.3079593
-1979,-909,1729273360.3379588
-2074,-893,1729273360.3569596
-2169,-878,1729273360.38996
-2264,-863,1729273360.4119644
-2359,-847,1729273360.439959
-2454,-828,1729273360.4719589
-2549,-807,1729273360.4939594
-2644,-783,1729273360.5259593
-2739,-757,1729273360.5539594
-2834,-732,1729273360.5789604
-2929,-707,1729273360.6099594
-3024,-679,1729273360.642959
-3119,-650,1729273360.6709595
-3214,-620,1729273360.6999493
-3309,-589,1729273360.7259529
