x,y,t
-10423,-4267,1729273226.370126
-10518,-4267,1729273226.3938837
-10613,-4267,1729273226.4128833
-10708,-4267,1729273226.4348836
-10803,-4267,1729273226.453884
-10898,-4267,1729273226.4778833
-10993,-4267,1729273226.4968834
-11088,-4257,1729273226.524884
-11183,-4247,1729273226.5438445
-11278,-4237,1729273226.5618515
-11373,-4227,1729273226.5828657
-11468,-4227,1729273226.604865
-11563,-4237,1729273226.6258655
-11658,-4247,1729273226.6458652
-11753,-4257,1729273226.6669881
-11848,-4275,1729273226.689998
-11943,-4305,1729273226.7098434
-12038,-4347,1729273226.73416
-12133,-4405,1729273226.7581668
-12228,-4477,1729273226.782167
-12323,-4559,1729273226.8071668
-12418,-4646,1729273226.8391855
-12513,-4732,1729273226.870181
-12608,-4813,1729273226.9028578
-12703,-4885,1729273226.9298604
-12792,-4950,1729273226.9559205
-12876,-5010,1729273226.979931
-12955,-5066,1729273227.0119298
-13027,-5117,1729273227.0399299
-13094,-5166,1729273227.0799296
-13154,-5220,1729273227.1129296
-13209,-5283,1729273227.1349297
-13260,-5352,1729273227.15893
-13306,-5428,1729273227.1784778
-13350,-5510,1729273227.198193
-13391,-5596,1729273227.220984
-13426,-5684,1729273227.2450142
-13456,-5775,1729273227.2630212
-13481,-5868,1729273227.2830365
-13500,-5961,1729273227.3040378
-13517,-6055,1729273227.3260362
-13531,-6150,1729273227.347036
-13544,-6243,1729273227.3690357
-13555,-6336,1729273227.3900356
-13568,-6431,1729273227.4078798
-13582,-6526,1729273227.4298773
-13597,-6621,1729273227.4560251
-13611,-6716,1729273227.4790342
-13623,-6811,1729273227.4990337
-13633,-6906,1729273227.520034
-13643,-7001,1729273227.5350492
-13653,-7096,1729273227.5590484
-13663,-7191,1729273227.5780487
-13673,-7286,1729273227.5990498
-13683,-7381,1729273227.6240485
-13695,-7476,1729273227.6460497
-13706,-7571,1729273227.6640484
-13716,-7666,1729273227.6870484
-13726,-7761,1729273227.709148
-13716,-7856,1729273227.7291765
-13706,-7951,1729273227.7581758
-13692,-8046,1729273227.7777233
-13673,-8141,1729273227.8011837
-13650,-8236,1729273227.8201714
-13623,-8331,1729273227.844178
-13595,-8426,1729273227.8611784
-13567,-8521,1729273227.887179
-13539,-8616,1729273227.9071925
-13511,-8711,1729273227.9228764
-13483,-8805,1729273227.9508748
-13454,-8897,1729273227.968875
-13425,-8988,1729273227.988879
-13397,-9078,1729273228.0188777
-13371,-9166,1729273228.035875
-13343,-9254,1729273228.0638747
-13315,-9342,1729273228.0828755
-13287,-9428,1729273228.1048756
-13260,-9511,1729273228.127876
-13233,-9593,1729273228.1478748
-13207,-9673,1729273228.1678758
-13184,-9747,1729273228.1928768
-13164,-9815,1729273228.2091932
-13144,-9881,1729273228.2342045
-13120,-9946,1729273228.2502043
-13092,-10011,1729273228.2752228
-13057,-10079,1729273228.2942207
-13015,-10150,1729273228.317223
-12969,-10223,1729273228.3342206
-12921,-10296,1729273228.3522208
-12870,-10368,1729273228.3783169
-12817,-10440,1729273228.4007692
-12765,-10513,1729273228.418084
-12718,-10586,1729273228.4436073
-12677,-10655,1729273228.463615
